S.No.,NepaliDescription,EnglishDescription,Description,Category,Rate (Rs. per 1000),,,,,,,,,,,,,,,,,,,,,,,,
79,ब्यारी चार्जग स्टेसि,Battery Charge Station,Battery Charge Station ब्यारी चार्जग स्टेसि,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
80,ब्यटी पालगि,Beauty Parlor,Beauty Parlor ब्यटी पालगि,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
81,ब्वार्लि,Uninstale Boiler and Boiler located out of industrial area,Uninstale Boiler and Boiler located out of industrial area ब्वार्लि,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
82,भोर्जघि तथा पाटी प्यालेस,Banquet and Party Palace,Banquet and Party Palace भोर्जघि तथा पाटी प्यालेस,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
83,मसार्ज सेन्टि,Massage Center,Massage Center मसार्ज सेन्टि,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
84,महानवद्यालय,College,College महानवद्यालय,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
85,माटो तथा कालोमाटोको सामाि,Pottery and Clay Work,Pottery and Clay Work माटो तथा कालोमाटोको सामाि,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
86,मास तथा माछा/मास प्रशोधि,Meat/Fish Shop and Mean/fish Processing,Meat/Fish Shop and Mean/fish Processing मास तथा माछा/मास प्रशोधि,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
87,नमठार् तथा िमनकि,Sweet and Namkin,Sweet and Namkin नमठार् तथा िमनकि,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
88,मोटेल,Motel,Motel मोटेल,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
89,"योर्स्थल,  नर्जमखािा,  ब्यायामशाला",Yoga Center or Gym and Health Club,"Yoga Center or Gym and Health Club योर्स्थल,  नर्जमखािा,  ब्यायामशाला",सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
90,रुिाक्ष बिनचि बयि हािे बयि तलसी तथा नबया वा दािाको माला,"Rudarachya, Budha Chitta, Bayar, Hadeybayar, Tulsi, Seed Garland","Rudarachya, Budha Chitta, Bayar, Hadeybayar, Tulsi, Seed Garland रुिाक्ष बिनचि बयि हािे बयि तलसी तथा नबया वा दािाको माला",सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
91,र्जष्टिन्ट,Restaurant,Restaurant र्जष्टिन्ट,सामान्य जोखिम,2,,,,,,,,,,,,,,,,,,,,,,,,
